nombre,apellidos,correo,aerolinea,origen,"destino final",escalas,"fecha y hora salida","fecha y hora llegada",equipaje,asiento,"fecha reserva",precio_final,pago
Cris,"Channer Deabill",cdeabillk@geocities.com,GOL,VVI,LIM,"2 escalas","2023-03-02 04:00:06","2023-03-07 15:50:01",basico+carry_on+extragrande,Aleatorio,2022-12-28,831,"tarjeta de credito"
Patricio,"Vitale Hoyos",vitale.p@gmail.com,LATAM,LIM,EZE,"sin escalas","2023-01-26 08:25:23","2023-01-22 13:42:24",basico,Aleatorio,2022-12-24,689,"tarjeta de credito"
Dedie,"Trahar McJury",dmcjuryu@umich.edu,JetSmart,EZE,UIO,"sin escalas","2023-01-12 03:37:27","2023-01-04 01:39:23",basico,Aleatorio,2022-12-24,245,"tarjeta debito"
Daphene,"Neylon Pauwel",dpauweld@smugmug.com,LATAM,VVI,EZE,"1 escala","2023-01-17 15:10:33","2023-01-11 15:29:58",basico,Aleatorio,2022-12-24,318,"tarjeta debito"
Fernando,"Martinez Rodriguez",f.martinez@hotmail.com,"SKY Airline",VVI,BOG,"3 escalas","2023-02-15 16:10:24","2023-02-23 16:11:33",basico,Aleatorio,2022-12-24,755,"tarjeta debito"
Felipe,"Guerrero Perez",guerrero.265@hotmail.com,GOL,EZE,SCL,"2 escalas","2023-02-15 21:20:32","2023-02-19 18:13:52",basico,Aleatorio,2022-12-24,846,"tarjeta de credito"
Cris,"Channer Deabill",cdeabillk@geocities.com,GOL,LIM,EZE,"1 escala","2023-02-15 01:11:47","2023-02-02 07:05:44",basico,Aleatorio,2022-12-24,426,"tarjeta de credito"
Rowen,"Beauchamp Farquhar",rfarquhars@usnews.com,LATAM,BOG,SCL,"sin escalas","2023-02-11 01:03:24","2023-02-14 05:29:46",basico,Aleatorio,2022-12-24,278,"tarjeta debito"
Radcliffe,"Millar Bearward",rbearwardw@mashable.com,GOL,LIM,UIO,"1 escala","2023-03-12 09:48:15","2023-03-29 17:03:40",basico,Aleatorio,2022-12-24,594,"tarjeta debito"
Rabbi,"Rydzynski Laddle",rladdleo@usgs.gov,"SKY Airline",SCL,UIO,"3 escalas","2023-03-24 03:32:26","2023-03-15 04:33:49",basico,Aleatorio,2022-12-24,668,"tarjeta de credito"
Ambrosius,"Horlick Josselsohn",ajosselsohnj@360.cn,LATAM,VVI,BOG,"2 escalas","2023-03-22 12:18:00","2023-03-08 11:20:29",basico,Aleatorio,2022-12-24,721,"tarjeta de credito"
Rabbi,"Rydzynski Laddle",rladdleo@usgs.gov,"SKY Airline",VVI,VVI,"sin escalas","2023-03-12 20:25:43","2023-03-14 15:22:11",basico,Aleatorio,2022-12-24,456,"tarjeta de credito"
Yule,"Bineham Montfort",ymontfort18@odnoklassniki.ru,LATAM,LIM,GRU,"1 escala","2023-01-15 09:29:00","2023-01-15 18:41:00",posterior+mano,Posterior,2022-12-24,652,"tarjeta debito"
Cherin,"Flowers Nussey",cnussey5@blogspot.com,"SKY Airline",VVI,LIM,"1 escala","2023-01-03 13:13:06","2023-01-07 05:19:38",posterior+mano,Posterior,2022-12-24,581,"tarjeta de credito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,LATAM,EZE,GRU,"1 escala","2023-01-23 02:19:02","2023-01-19 22:44:57",posterior+mano,Posterior,2022-12-24,525,"tarjeta de credito"
Daniella,"Arrighetti Heard",dheardc@linkedin.com,GOL,EZE,SCL,"3 escalas","2023-01-10 02:23:45","2023-01-28 11:06:43",posterior+mano,Posterior,2022-12-24,724,"tarjeta de credito"
Rowen,"Beauchamp Farquhar",rfarquhars@usnews.com,GOL,LIM,VVI,"1 escala","2023-01-03 23:40:23","2023-01-19 18:17:32",posterior+mano,Posterior,2022-12-24,333,"tarjeta de credito"
Keelia,"Bellworthy Mushart",kmushart15@digg.com,Easyfly,LIM,LIM,"sin escalas","2023-02-26 22:00:24","2023-02-19 17:13:39",posterior+mano,Posterior,2022-12-24,504,"tarjeta de credito"
Luce,"Packman Largen",llargen11@jimdo.com,LATAM,VVI,VVI,"3 escalas","2023-02-05 04:08:23","2023-02-15 13:16:34",posterior+mano,Posterior,2022-12-24,765,"tarjeta de credito"
Tedman,"Eschelle Maliphant",tmaliphantp@cnn.com,"SKY Airline",UIO,LIM,"1 escala","2023-02-09 00:23:10","2023-02-27 03:45:20",posterior+mano,Posterior,2022-12-24,765,"tarjeta debito"
Radcliffe,"Millar Bearward",rbearwardw@mashable.com,GOL,LIM,SCL,"2 escalas","2023-03-27 07:13:14","2023-03-19 10:39:47",posterior+mano,Posterior,2022-12-24,507,"tarjeta debito"
Bethany,"Brixey Basford",bbasford0@nyu.edu,Easyfly,EZE,VVI,"1 escala","2023-03-18 07:13:29","2023-03-13 17:29:01",posterior+mano,Posterior,2022-12-24,764,"tarjeta de credito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,Easyfly,LIM,LIM,"3 escalas","2023-03-08 10:52:10","2023-03-11 18:12:06",posterior+mano,Posterior,2022-12-24,850,"tarjeta de credito"
Katherine,"Romero Soto",kath.r.18@hotmail.com,LATAM,UIO,VVI,"2 escalas","2023-03-09 18:42:26","2023-03-05 19:31:06",posterior+mano,Posterior,2022-12-24,227,"tarjeta debito"
Stanford,"Fateley Wogdon",swogdonm@abc.net.au,JetSmart,UIO,UIO,"1 escala","2023-03-09 23:39:11","2023-03-19 04:05:06",posterior+mano,Posterior,2022-12-24,694,"tarjeta de credito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,"SKY Airline",LIM,UIO,"3 escalas","2023-03-15 04:33:46","2023-03-28 00:40:00",posterior+mano,Posterior,2022-12-24,695,"tarjeta de credito"
Trefor,"Stucksbury Gorgen",tgorgen1f@tinyurl.com,"SKY Airline",GRU,BOG,"2 escalas","2023-03-04 10:24:11","2023-03-27 06:38:49",posterior+mano,Posterior,2022-12-24,753,paypal
Dimitri,"Guille Arter",darteri@europa.eu,"SKY Airline",SCL,UIO,"3 escalas","2023-03-07 23:07:23","2023-03-13 10:33:32",posterior+mano,Posterior,2022-12-24,430,"tarjeta de credito"
Josiah,"Buckam Bedder",jbedderg@php.net,GOL,LIM,BOG,"1 escala","2023-03-26 14:51:12","2023-03-05 03:37:10",posterior+mano,Posterior,2022-12-24,321,"tarjeta de credito"
Tully,"Mishaw Scargill",tscargill1a@tinyurl.com,"SKY Airline",SCL,SCL,"1 escala","2023-01-16 08:14:09","2023-01-01 10:12:25",basico+carry_on,Aleatorio,2022-12-24,276,"tarjeta debito"
Margery,"Frammingham Kosel",mkosel6@skype.com,"SKY Airline",GRU,SCL,"sin escalas","2023-01-18 07:35:16","2023-01-25 04:38:21",basico+carry_on,Aleatorio,2022-12-24,570,"tarjeta de credito"
Olive,"Dallimare Chugg",ochugg12@prweb.com,JetSmart,EZE,LIM,"1 escala","2023-02-14 14:41:42","2023-02-07 03:47:42",basico+carry_on,Aleatorio,2022-12-24,669,"tarjeta de credito"
Cherin,"Flowers Nussey",cnussey5@blogspot.com,LATAM,EZE,LIM,"2 escalas","2023-02-27 02:53:40","2023-02-01 09:16:22",basico+carry_on,Aleatorio,2022-12-24,484,"tarjeta de credito"
Rowen,"Beauchamp Farquhar",rfarquhars@usnews.com,Easyfly,EZE,BOG,"1 escala","2023-02-23 11:30:56","2023-02-14 18:11:31",basico+carry_on,Aleatorio,2022-12-24,842,"tarjeta debito"
Penn,"Palser Cudmore",pcudmorex@sogou.com,JetSmart,UIO,SCL,"2 escalas","2023-02-12 12:48:22","2023-02-25 10:27:42",basico+carry_on,Aleatorio,2022-12-24,647,"tarjeta de credito"
Margery,"Frammingham Kosel",mkosel6@skype.com,Easyfly,EZE,LIM,"1 escala","2023-02-03 17:45:19","2023-02-11 20:52:16",basico+carry_on,Aleatorio,2022-12-24,629,paypal
Alphonse,"Dowyer De Angelis",adeangelis1i@sfgate.com,JetSmart,GRU,EZE,"sin escalas","2023-02-03 17:24:53","2023-02-18 23:32:12",basico+carry_on,Aleatorio,2022-12-24,339,"tarjeta de credito"
Sterne,"Yakushkev Mossbee",smossbee1b@ovh.net,GOL,VVI,UIO,"sin escalas","2023-03-19 13:19:13","2023-03-05 19:58:29",basico+carry_on,Aleatorio,2022-12-24,741,paypal
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,Easyfly,EZE,GRU,"2 escalas","2023-03-19 17:55:12","2023-03-06 10:51:25",basico+carry_on,Aleatorio,2022-12-24,447,paypal
Rory,"Antoniottii Morforth",rmorforth17@sakura.ne.jp,JetSmart,LIM,GRU,"2 escalas","2023-03-04 19:06:58","2023-03-19 03:42:59",basico+carry_on,Aleatorio,2022-12-24,732,paypal
Lois,"Blaxley Maleney",lmaleney1j@wordpress.com,GOL,UIO,VVI,"2 escalas","2023-01-15 13:01:37","2023-01-10 18:02:01",basico+carry_on+grande,Aleatorio,2022-12-24,396,"tarjeta de credito"
Paula,"Paulos Chirinos",m.paul.34@gmail.com,GOL,GRU,LIM,"2 escalas","2023-01-22 14:34:11","2023-01-11 06:09:34",basico+carry_on+grande,Aleatorio,2022-12-24,577,"tarjeta de credito"
Andres,"Quintero Roca",andres_69@gmail.com,GOL,SCL,VVI,"sin escalas","2023-01-05 04:40:51","2023-01-04 08:16:26",basico+carry_on+grande,Aleatorio,2022-12-24,339,"tarjeta de credito"
Anderea,"Dawes Primarolo",aprimarolol@weibo.com,JetSmart,VVI,GRU,"sin escalas","2023-01-19 22:35:15","2023-01-25 00:18:49",basico+carry_on+grande,Aleatorio,2022-12-24,603,"tarjeta debito"
Francisca,"Carles Oda",foda10@uiuc.edu,"SKY Airline",UIO,UIO,"1 escala","2023-02-15 15:26:18","2023-02-24 22:48:17",basico+carry_on+grande,Aleatorio,2022-12-24,530,"tarjeta de credito"
Emmey,"Pryell Tewkesbury",etewkesburyt@cornell.edu,"SKY Airline",GRU,EZE,"sin escalas","2023-02-09 08:21:26","2023-02-23 19:31:31",basico+carry_on+grande,Aleatorio,2022-12-24,757,"tarjeta de credito"
Hallsy,"Lingley Scudamore",hscudamore1c@cbsnews.com,"SKY Airline",SCL,LIM,"1 escala","2023-02-03 18:24:10","2023-02-02 22:26:13",basico+carry_on+grande,Aleatorio,2022-12-24,527,"tarjeta de credito"
Hallsy,"Lingley Scudamore",hscudamore1c@cbsnews.com,LATAM,UIO,SCL,"3 escalas","2023-03-20 08:27:37","2023-03-03 03:17:21",basico+carry_on+grande,Aleatorio,2022-12-24,690,paypal
Britte,"Wandrey Myrie",bmyrier@feedburner.com,LATAM,BOG,SCL,"3 escalas","2023-03-01 15:08:39","2023-03-18 03:04:07",basico+carry_on+grande,Aleatorio,2022-12-24,749,"tarjeta de credito"
Radcliffe,"Millar Bearward",rbearwardw@mashable.com,Easyfly,UIO,GRU,"2 escalas","2023-03-11 17:01:02","2023-03-04 18:51:55",basico+carry_on+grande,Aleatorio,2022-12-24,361,"tarjeta de credito"
Felipe,"Guerrero Perez",guerrero.265@hotmail.com,GOL,BOG,LIM,"2 escalas","2023-03-28 22:09:45","2023-03-01 20:54:36",basico+carry_on+grande,Aleatorio,2022-12-24,815,"tarjeta debito"
Ambrosius,"Horlick Josselsohn",ajosselsohnj@360.cn,GOL,SCL,UIO,"2 escalas","2023-03-18 20:19:05","2023-03-06 18:21:16",basico+carry_on+grande,Aleatorio,2022-12-24,658,"tarjeta de credito"
Tedman,"Eschelle Maliphant",tmaliphantp@cnn.com,LATAM,GRU,LIM,"3 escalas","2023-03-24 18:27:49","2023-03-03 23:44:58",basico+carry_on+grande,Aleatorio,2022-12-24,678,"tarjeta debito"
Cullan,"Mauger Ubsdell",cubsdell2@omniture.com,LATAM,EZE,VVI,"sin escalas","2023-01-01 23:19:27","2023-01-18 11:07:15",basico+carry_on+extragrande,Aleatorio,2022-12-24,536,"tarjeta de credito"
Hortensia,"Breache Isham",hisham1m@t.co,GOL,EZE,EZE,"sin escalas","2023-01-23 07:05:27","2023-01-30 06:39:03",basico+carry_on+extragrande,Aleatorio,2022-12-24,356,paypal
Dena,"Lamy Duffer",dduffer9@typepad.com,JetSmart,UIO,LIM,"sin escalas","2023-01-10 00:06:15","2023-01-30 03:44:27",basico+carry_on+extragrande,Aleatorio,2022-12-24,708,"tarjeta de credito"
Cullan,"Mauger Ubsdell",cubsdell2@omniture.com,JetSmart,BOG,SCL,"2 escalas","2023-01-05 18:02:57","2023-01-23 05:52:52",basico+carry_on+extragrande,Aleatorio,2022-12-24,739,"tarjeta de credito"
Concordia,"McWhirter Allderidge",callderidge19@canalblog.com,LATAM,LIM,GRU,"2 escalas","2023-02-06 04:32:00","2023-02-15 13:24:16",basico+carry_on+extragrande,Aleatorio,2022-12-24,372,paypal
Godfry,"Lyle Strathe",gstrathe16@amazon.com,Easyfly,VVI,SCL,"3 escalas","2023-02-26 01:36:44","2023-02-27 02:04:01",basico+carry_on+extragrande,Aleatorio,2022-12-24,918,"tarjeta de credito"
Mariana,"Hoyos Saavedra",marianita@gmail.com,JetSmart,EZE,VVI,"2 escalas","2023-02-19 14:31:25","2023-02-10 20:41:16",basico+carry_on+extragrande,Aleatorio,2022-12-24,948,"tarjeta debito"
Paula,"Paulos Chirinos",m.paul.34@gmail.com,"SKY Airline",UIO,SCL,"3 escalas","2023-03-22 10:36:20","2023-03-04 06:37:08",basico+carry_on+extragrande,Aleatorio,2022-12-24,565,"tarjeta de credito"
Yule,"Bineham Montfort",ymontfort18@odnoklassniki.ru,Easyfly,BOG,VVI,"2 escalas","2023-03-08 00:41:20","2023-03-07 11:19:36",basico+carry_on+extragrande,Aleatorio,2022-12-24,494,"tarjeta debito"
Malynda,"Gallety Trump",mtrump7@live.com,LATAM,SCL,VVI,"1 escala","2023-03-14 05:23:36","2023-03-20 08:22:10",basico+carry_on+extragrande,Aleatorio,2022-12-24,914,"tarjeta de credito"
Rory,"Antoniottii Morforth",rmorforth17@sakura.ne.jp,"SKY Airline",VVI,EZE,"sin escalas","2023-03-21 21:52:24","2023-03-15 22:29:31",basico+carry_on+extragrande,Aleatorio,2022-12-24,440,"tarjeta debito"
Penn,"Palser Cudmore",pcudmorex@sogou.com,JetSmart,BOG,SCL,"1 escala","2023-03-23 20:47:33","2023-03-28 19:26:21",basico+carry_on+extragrande,Aleatorio,2022-12-24,831,paypal
Hershel,"Rosewall Murrish",hmurrish1@shop-pro.jp,"SKY Airline",UIO,VVI,"2 escalas","2023-03-08 08:25:53","2023-03-04 20:00:26",basico+carry_on+extragrande,Aleatorio,2022-12-24,613,"tarjeta de credito"
