nombre,apellidos,correo,aerolinea,origen,"destino final",escalas,equipaje,asiento,fecha,precio_final,pago
Fernando,"Martinez Rodriguez",f.martinez@hotmail.com,LATAM,UIO,GRU,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-28,688,paypal
Tully,"Mishaw Scargill",tscargill1a@tinyurl.com,Easyfly,EZE,VVI,"3 escalas",basico+carry_on,Aleatorio,2022-12-28,598,"tarjeta debito"
Manda,"Crumbie Paudin",mpaudinq@imdb.com,Easyfly,EZE,VVI,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-28,648,"tarjeta de credito"
Hershel,"Rosewall Murrish",hmurrish1@shop-pro.jp,Easyfly,EZE,GRU,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-28,763,"tarjeta de credito"
Steffane,"Nuemann Stoltz",sstoltz1k@patch.com,"SKY Airline",EZE,SCL,"2 escalas",posterior+mano,Posterior,2022-12-28,719,"tarjeta debito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,Easyfly,EZE,LIM,"1 escala",posterior+mano,Posterior,2022-12-28,719,"tarjeta de credito"
Karly,"Renac Gormally",kgormally1n@mapquest.com,Easyfly,EZE,SCL,"1 escala",basico+carry_on+grande,Aleatorio,2022-12-28,812,paypal
Fernando,"Martinez Rodriguez",f.martinez@hotmail.com,LATAM,EZE,BOG,"sin escalas",posterior+mano,Posterior,2022-12-28,798,"tarjeta de credito"
Lauren,"Westnedge L'Hommeau",llhommeaub@rambler.ru,LATAM,EZE,SCL,"sin escalas",basico,Aleatorio,2022-12-28,542,"tarjeta de credito"
Tedman,"Eschelle Maliphant",tmaliphantp@cnn.com,LATAM,GRU,LIM,"3 escalas",basico+carry_on+grande,Aleatorio,2022-12-24,678,"tarjeta debito"
Paula,"Paulos Chirinos",m.paul.34@gmail.com,GOL,GRU,LIM,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-24,577,"tarjeta de credito"
Trefor,"Stucksbury Gorgen",tgorgen1f@tinyurl.com,"SKY Airline",GRU,BOG,"2 escalas",posterior+mano,Posterior,2022-12-24,753,paypal
Margery,"Frammingham Kosel",mkosel6@skype.com,"SKY Airline",GRU,SCL,"sin escalas",basico+carry_on,Aleatorio,2022-12-24,570,"tarjeta de credito"
Emmey,"Pryell Tewkesbury",etewkesburyt@cornell.edu,"SKY Airline",GRU,EZE,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-24,757,"tarjeta de credito"
Britte,"Wandrey Myrie",bmyrier@feedburner.com,LATAM,BOG,SCL,"3 escalas",basico+carry_on+grande,Aleatorio,2022-12-24,749,"tarjeta de credito"
Cullan,"Mauger Ubsdell",cubsdell2@omniture.com,JetSmart,BOG,SCL,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-24,739,"tarjeta de credito"
Felipe,"Guerrero Perez",guerrero.265@hotmail.com,GOL,BOG,LIM,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-24,815,"tarjeta debito"
Penn,"Palser Cudmore",pcudmorex@sogou.com,JetSmart,BOG,SCL,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-12-24,831,paypal
Bentley,"Allden Bushrod",bbushrody@woothemes.com,Easyfly,LIM,LIM,"3 escalas",posterior+mano,Posterior,2022-12-24,850,"tarjeta de credito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,"SKY Airline",LIM,UIO,"3 escalas",posterior+mano,Posterior,2022-12-24,695,"tarjeta de credito"
Radcliffe,"Millar Bearward",rbearwardw@mashable.com,GOL,LIM,SCL,"2 escalas",posterior+mano,Posterior,2022-12-24,507,"tarjeta debito"
Rory,"Antoniottii Morforth",rmorforth17@sakura.ne.jp,JetSmart,LIM,GRU,"2 escalas",basico+carry_on,Aleatorio,2022-12-24,732,paypal
Yule,"Bineham Montfort",ymontfort18@odnoklassniki.ru,LATAM,LIM,GRU,"1 escala",posterior+mano,Posterior,2022-12-24,652,"tarjeta debito"
Radcliffe,"Millar Bearward",rbearwardw@mashable.com,GOL,LIM,UIO,"1 escala",basico,Aleatorio,2022-12-24,594,"tarjeta debito"
Patricio,"Vitale Hoyos",vitale.p@gmail.com,LATAM,LIM,EZE,"sin escalas",basico,Aleatorio,2022-12-24,689,"tarjeta de credito"
Keelia,"Bellworthy Mushart",kmushart15@digg.com,Easyfly,LIM,LIM,"sin escalas",posterior+mano,Posterior,2022-12-24,504,"tarjeta de credito"
Rabbi,"Rydzynski Laddle",rladdleo@usgs.gov,"SKY Airline",SCL,UIO,"3 escalas",basico,Aleatorio,2022-12-24,668,"tarjeta de credito"
Ambrosius,"Horlick Josselsohn",ajosselsohnj@360.cn,GOL,SCL,UIO,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-24,658,"tarjeta de credito"
Hallsy,"Lingley Scudamore",hscudamore1c@cbsnews.com,"SKY Airline",SCL,LIM,"1 escala",basico+carry_on+grande,Aleatorio,2022-12-24,527,"tarjeta de credito"
Malynda,"Gallety Trump",mtrump7@live.com,LATAM,SCL,VVI,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-12-24,914,"tarjeta de credito"
Fernando,"Martinez Rodriguez",f.martinez@hotmail.com,"SKY Airline",VVI,BOG,"3 escalas",basico,Aleatorio,2022-12-24,755,"tarjeta debito"
Godfry,"Lyle Strathe",gstrathe16@amazon.com,Easyfly,VVI,SCL,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-24,918,"tarjeta de credito"
Luce,"Packman Largen",llargen11@jimdo.com,LATAM,VVI,VVI,"3 escalas",posterior+mano,Posterior,2022-12-24,765,"tarjeta de credito"
Ambrosius,"Horlick Josselsohn",ajosselsohnj@360.cn,LATAM,VVI,BOG,"2 escalas",basico,Aleatorio,2022-12-24,721,"tarjeta de credito"
Cherin,"Flowers Nussey",cnussey5@blogspot.com,"SKY Airline",VVI,LIM,"1 escala",posterior+mano,Posterior,2022-12-24,581,"tarjeta de credito"
Anderea,"Dawes Primarolo",aprimarolol@weibo.com,JetSmart,VVI,GRU,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-24,603,"tarjeta debito"
Sterne,"Yakushkev Mossbee",smossbee1b@ovh.net,GOL,VVI,UIO,"sin escalas",basico+carry_on,Aleatorio,2022-12-24,741,paypal
Hallsy,"Lingley Scudamore",hscudamore1c@cbsnews.com,LATAM,UIO,SCL,"3 escalas",basico+carry_on+grande,Aleatorio,2022-12-24,690,paypal
Paula,"Paulos Chirinos",m.paul.34@gmail.com,"SKY Airline",UIO,SCL,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-24,565,"tarjeta de credito"
Penn,"Palser Cudmore",pcudmorex@sogou.com,JetSmart,UIO,SCL,"2 escalas",basico+carry_on,Aleatorio,2022-12-24,647,"tarjeta de credito"
Hershel,"Rosewall Murrish",hmurrish1@shop-pro.jp,"SKY Airline",UIO,VVI,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-24,613,"tarjeta de credito"
Francisca,"Carles Oda",foda10@uiuc.edu,"SKY Airline",UIO,UIO,"1 escala",basico+carry_on+grande,Aleatorio,2022-12-24,530,"tarjeta de credito"
Tedman,"Eschelle Maliphant",tmaliphantp@cnn.com,"SKY Airline",UIO,LIM,"1 escala",posterior+mano,Posterior,2022-12-24,765,"tarjeta debito"
Stanford,"Fateley Wogdon",swogdonm@abc.net.au,JetSmart,UIO,UIO,"1 escala",posterior+mano,Posterior,2022-12-24,694,"tarjeta de credito"
Dena,"Lamy Duffer",dduffer9@typepad.com,JetSmart,UIO,LIM,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-24,708,"tarjeta de credito"
Daniella,"Arrighetti Heard",dheardc@linkedin.com,GOL,EZE,SCL,"3 escalas",posterior+mano,Posterior,2022-12-24,724,"tarjeta de credito"
Felipe,"Guerrero Perez",guerrero.265@hotmail.com,GOL,EZE,SCL,"2 escalas",basico,Aleatorio,2022-12-24,846,"tarjeta de credito"
Mariana,"Hoyos Saavedra",marianita@gmail.com,JetSmart,EZE,VVI,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-24,948,"tarjeta debito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,LATAM,EZE,GRU,"1 escala",posterior+mano,Posterior,2022-12-24,525,"tarjeta de credito"
Olive,"Dallimare Chugg",ochugg12@prweb.com,JetSmart,EZE,LIM,"1 escala",basico+carry_on,Aleatorio,2022-12-24,669,"tarjeta de credito"
Rowen,"Beauchamp Farquhar",rfarquhars@usnews.com,Easyfly,EZE,BOG,"1 escala",basico+carry_on,Aleatorio,2022-12-24,842,"tarjeta debito"
Margery,"Frammingham Kosel",mkosel6@skype.com,Easyfly,EZE,LIM,"1 escala",basico+carry_on,Aleatorio,2022-12-24,629,paypal
Bethany,"Brixey Basford",bbasford0@nyu.edu,Easyfly,EZE,VVI,"1 escala",posterior+mano,Posterior,2022-12-24,764,"tarjeta de credito"
Cullan,"Mauger Ubsdell",cubsdell2@omniture.com,LATAM,EZE,VVI,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-24,536,"tarjeta de credito"
Jerry,"Duffitt Covill",jcovillh@etsy.com,"SKY Airline",GRU,VVI,"sin escalas",posterior+mano,Posterior,2022-12-11,616,"tarjeta debito"
Daphene,"Neylon Pauwel",dpauweld@smugmug.com,JetSmart,BOG,LIM,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-11,677,paypal
Camila,"Alvarez Cueva",camila_24@hotmail.com,Easyfly,BOG,BOG,"1 escala",basico+carry_on,Aleatorio,2022-12-11,702,paypal
Mauricio,"Quintero Diaz",q.m.1987@hotmail.com,GOL,BOG,LIM,"1 escala",basico,Aleatorio,2022-12-11,740,"tarjeta de credito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,LATAM,BOG,VVI,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-11,756,"tarjeta debito"
Rowen,"Beauchamp Farquhar",rfarquhars@usnews.com,LATAM,BOG,BOG,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-11,950,"tarjeta debito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,JetSmart,LIM,BOG,"3 escalas",basico,Aleatorio,2022-12-11,513,paypal
Tully,"Mishaw Scargill",tscargill1a@tinyurl.com,LATAM,LIM,EZE,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-11,640,"tarjeta debito"
Rabbi,"Rydzynski Laddle",rladdleo@usgs.gov,"SKY Airline",LIM,BOG,"1 escala",basico+carry_on,Aleatorio,2022-12-11,603,"tarjeta de credito"
Mart,"Scruby Orrocks",morrockse@ameblo.jp,GOL,LIM,UIO,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-11,882,"tarjeta debito"
Yule,"Bineham Montfort",ymontfort18@odnoklassniki.ru,"SKY Airline",SCL,UIO,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-11,753,"tarjeta de credito"
Malynda,"Gallety Trump",mtrump7@live.com,GOL,SCL,BOG,"1 escala",basico+carry_on+grande,Aleatorio,2022-12-11,784,"tarjeta debito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,JetSmart,SCL,EZE,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-12-11,920,paypal
Gaelan,"Clemanceau Stilly",gstillyf@jugem.jp,GOL,SCL,SCL,"sin escalas",basico,Aleatorio,2022-12-11,694,"tarjeta debito"
Lois,"Blaxley Maleney",lmaleney1j@wordpress.com,GOL,SCL,SCL,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-11,864,paypal
Josiah,"Buckam Bedder",jbedderg@php.net,Easyfly,SCL,SCL,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-11,930,paypal
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,"SKY Airline",VVI,LIM,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-11,865,"tarjeta de credito"
Steffane,"Nuemann Stoltz",sstoltz1k@patch.com,LATAM,VVI,LIM,"1 escala",basico+carry_on,Aleatorio,2022-12-11,625,"tarjeta de credito"
Lindsay,"Molden Domico",ldomico3@indiegogo.com,GOL,VVI,SCL,"1 escala",basico+carry_on+grande,Aleatorio,2022-12-11,715,"tarjeta de credito"
Penn,"Palser Cudmore",pcudmorex@sogou.com,GOL,VVI,SCL,"1 escala",basico+carry_on,Aleatorio,2022-12-11,838,"tarjeta debito"
Hortensia,"Breache Isham",hisham1m@t.co,"SKY Airline",VVI,VVI,"1 escala",basico+carry_on+grande,Aleatorio,2022-12-11,906,"tarjeta debito"
Godfry,"Lyle Strathe",gstrathe16@amazon.com,LATAM,VVI,LIM,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-11,503,"tarjeta de credito"
Josiah,"Buckam Bedder",jbedderg@php.net,"SKY Airline",VVI,SCL,"sin escalas",basico+carry_on,Aleatorio,2022-12-11,827,"tarjeta de credito"
Bethany,"Brixey Basford",bbasford0@nyu.edu,LATAM,VVI,EZE,"sin escalas",basico,Aleatorio,2022-12-11,510,paypal
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,LATAM,VVI,SCL,"sin escalas",basico+carry_on,Aleatorio,2022-12-11,846,"tarjeta debito"
Trefor,"Stucksbury Gorgen",tgorgen1f@tinyurl.com,GOL,UIO,EZE,"3 escalas",posterior+mano,Posterior,2022-12-11,846,"tarjeta debito"
Channa,"Durban Whyard",cwhyard1e@timesonline.co.uk,JetSmart,UIO,VVI,"2 escalas",basico+carry_on,Aleatorio,2022-12-11,672,"tarjeta debito"
Mariana,"Hoyos Saavedra",marianita@gmail.com,LATAM,UIO,LIM,"sin escalas",posterior+mano,Posterior,2022-12-11,772,"tarjeta debito"
Felipe,"Guerrero Perez",guerrero.265@hotmail.com,JetSmart,EZE,EZE,"3 escalas",basico+carry_on,Aleatorio,2022-12-11,833,"tarjeta debito"
Tedman,"Eschelle Maliphant",tmaliphantp@cnn.com,JetSmart,EZE,GRU,"1 escala",posterior+mano,Posterior,2022-12-11,751,"tarjeta debito"
Ambrosius,"Horlick Josselsohn",ajosselsohnj@360.cn,"SKY Airline",EZE,BOG,"1 escala",basico,Aleatorio,2022-12-11,786,paypal
Mariana,"Hoyos Saavedra",marianita@gmail.com,GOL,EZE,BOG,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-11,675,"tarjeta debito"
Britte,"Wandrey Myrie",bmyrier@feedburner.com,GOL,EZE,UIO,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-11,885,"tarjeta de credito"
Katherine,"Romero Soto",kath.r.18@hotmail.com,LATAM,GRU,UIO,"3 escalas",basico+carry_on,Aleatorio,2022-12-08,893,paypal
Ardelis,"Joost Jelf",ajelf8@prlog.org,JetSmart,GRU,EZE,"2 escalas",basico,Aleatorio,2022-12-08,505,"tarjeta de credito"
Hortensia,"Breache Isham",hisham1m@t.co,GOL,GRU,EZE,"2 escalas",basico+carry_on,Aleatorio,2022-12-08,710,"tarjeta de credito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,Easyfly,GRU,VVI,"1 escala",posterior+mano,Posterior,2022-12-08,634,"tarjeta de credito"
Trefor,"Stucksbury Gorgen",tgorgen1f@tinyurl.com,LATAM,GRU,BOG,"1 escala",posterior+mano,Posterior,2022-12-08,674,"tarjeta de credito"
Alphonse,"Dowyer De Angelis",adeangelis1i@sfgate.com,JetSmart,GRU,SCL,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-08,802,paypal
Karly,"Renac Gormally",kgormally1n@mapquest.com,LATAM,GRU,GRU,"sin escalas",basico,Aleatorio,2022-12-08,840,paypal
Yule,"Bineham Montfort",ymontfort18@odnoklassniki.ru,LATAM,BOG,VVI,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-08,930,"tarjeta debito"
Dedie,"Trahar McJury",dmcjuryu@umich.edu,GOL,BOG,GRU,"3 escalas",basico,Aleatorio,2022-12-08,796,"tarjeta de credito"
Paula,"Paulos Chirinos",m.paul.34@gmail.com,JetSmart,BOG,SCL,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-08,614,"tarjeta de credito"
Tully,"Mishaw Scargill",tscargill1a@tinyurl.com,Easyfly,BOG,UIO,"3 escalas",basico+carry_on+grande,Aleatorio,2022-12-08,649,"tarjeta de credito"
Emmey,"Pryell Tewkesbury",etewkesburyt@cornell.edu,JetSmart,BOG,VVI,"3 escalas",basico+carry_on+grande,Aleatorio,2022-12-08,888,"tarjeta de credito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,"SKY Airline",BOG,SCL,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-08,595,"tarjeta debito"
Brnaba,"Beckinsale Marchant",bmarchant4@altervista.org,LATAM,BOG,EZE,"1 escala",basico+carry_on,Aleatorio,2022-12-08,757,"tarjeta de credito"
Trefor,"Stucksbury Gorgen",tgorgen1f@tinyurl.com,"SKY Airline",BOG,LIM,"1 escala",posterior+mano,Posterior,2022-12-08,691,paypal
Timmy,"Seawell Doolan",tdoolan1l@youku.com,LATAM,BOG,VVI,"sin escalas",posterior+mano,Posterior,2022-12-08,594,"tarjeta de credito"
Keelia,"Bellworthy Mushart",kmushart15@digg.com,LATAM,BOG,BOG,"sin escalas",basico,Aleatorio,2022-12-08,737,"tarjeta debito"
Gaelan,"Clemanceau Stilly",gstillyf@jugem.jp,GOL,LIM,BOG,"3 escalas",posterior+mano,Posterior,2022-12-08,665,"tarjeta de credito"
Rorie,"Bowdon Wibberley",rwibberleyv@reverbnation.com,LATAM,LIM,SCL,"2 escalas",basico+carry_on,Aleatorio,2022-12-08,718,"tarjeta de credito"
Timmy,"Seawell Doolan",tdoolan1l@youku.com,"SKY Airline",LIM,SCL,"1 escala",posterior+mano,Posterior,2022-12-08,796,"tarjeta debito"
Trefor,"Stucksbury Gorgen",tgorgen1f@tinyurl.com,"SKY Airline",LIM,VVI,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-12-08,827,paypal
Luce,"Packman Largen",llargen11@jimdo.com,GOL,LIM,GRU,"1 escala",basico+carry_on+grande,Aleatorio,2022-12-08,525,"tarjeta debito"
Patricio,"Vitale Hoyos",vitale.p@gmail.com,"SKY Airline",LIM,VVI,"1 escala",basico,Aleatorio,2022-12-08,591,"tarjeta de credito"
Paula,"Paulos Chirinos",m.paul.34@gmail.com,LATAM,LIM,BOG,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-08,750,"tarjeta de credito"
Patricio,"Vitale Hoyos",vitale.p@gmail.com,"SKY Airline",SCL,VVI,"3 escalas",posterior+mano,Posterior,2022-12-08,588,"tarjeta de credito"
Paula,"Paulos Chirinos",m.paul.34@gmail.com,GOL,SCL,LIM,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-08,582,paypal
Alphonse,"Dowyer De Angelis",adeangelis1i@sfgate.com,LATAM,SCL,GRU,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-08,764,"tarjeta de credito"
Tully,"Mishaw Scargill",tscargill1a@tinyurl.com,GOL,SCL,BOG,"1 escala",posterior+mano,Posterior,2022-12-08,621,paypal
Fernanda,"Masias Rosinelli",f.masias@hotmail.com,LATAM,SCL,EZE,"1 escala",basico,Aleatorio,2022-12-08,803,"tarjeta de credito"
Emmey,"Pryell Tewkesbury",etewkesburyt@cornell.edu,LATAM,VVI,EZE,"3 escalas",posterior+mano,Posterior,2022-12-08,568,"tarjeta de credito"
Britte,"Wandrey Myrie",bmyrier@feedburner.com,JetSmart,VVI,UIO,"3 escalas",basico,Aleatorio,2022-12-08,562,"tarjeta de credito"
Elizabet,"Hackwell Hyatt",ehyatt14@diigo.com,Easyfly,VVI,UIO,"3 escalas",basico+carry_on+grande,Aleatorio,2022-12-08,689,"tarjeta debito"
Cris,"Channer Deabill",cdeabillk@geocities.com,GOL,VVI,UIO,"2 escalas",basico,Aleatorio,2022-12-08,658,paypal
Lois,"Blaxley Maleney",lmaleney1j@wordpress.com,GOL,VVI,VVI,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-08,577,"tarjeta de credito"
Mauricio,"Quintero Diaz",q.m.1987@hotmail.com,Easyfly,VVI,BOG,"sin escalas",basico,Aleatorio,2022-12-08,682,"tarjeta de credito"
Anderea,"Dawes Primarolo",aprimarolol@weibo.com,LATAM,VVI,SCL,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-08,731,paypal
Anderea,"Dawes Primarolo",aprimarolol@weibo.com,LATAM,UIO,BOG,"3 escalas",posterior+mano,Posterior,2022-12-08,590,paypal
Lauren,"Westnedge L'Hommeau",llhommeaub@rambler.ru,GOL,UIO,SCL,"3 escalas",basico,Aleatorio,2022-12-08,576,"tarjeta de credito"
Sterne,"Yakushkev Mossbee",smossbee1b@ovh.net,LATAM,UIO,VVI,"2 escalas",basico+carry_on,Aleatorio,2022-12-08,885,"tarjeta de credito"
Cris,"Channer Deabill",cdeabillk@geocities.com,LATAM,UIO,UIO,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-08,590,"tarjeta de credito"
Britte,"Wandrey Myrie",bmyrier@feedburner.com,LATAM,UIO,EZE,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-08,549,"tarjeta de credito"
Daphene,"Neylon Pauwel",dpauweld@smugmug.com,GOL,UIO,UIO,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-08,769,"tarjeta debito"
Godfry,"Lyle Strathe",gstrathe16@amazon.com,"SKY Airline",UIO,VVI,"2 escalas",posterior+mano,Posterior,2022-12-08,686,paypal
Jerry,"Duffitt Covill",jcovillh@etsy.com,LATAM,UIO,EZE,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-08,781,"tarjeta debito"
Alphonse,"Dowyer De Angelis",adeangelis1i@sfgate.com,LATAM,UIO,LIM,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-08,522,"tarjeta debito"
Patricio,"Vitale Hoyos",vitale.p@gmail.com,GOL,UIO,VVI,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-08,881,"tarjeta debito"
Channa,"Durban Whyard",cwhyard1e@timesonline.co.uk,JetSmart,UIO,SCL,"sin escalas",posterior+mano,Posterior,2022-12-08,716,"tarjeta de credito"
Daniella,"Arrighetti Heard",dheardc@linkedin.com,"SKY Airline",EZE,GRU,"3 escalas",basico+carry_on+grande,Aleatorio,2022-12-08,527,"tarjeta de credito"
Manda,"Crumbie Paudin",mpaudinq@imdb.com,LATAM,EZE,GRU,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-08,854,"tarjeta debito"
Manda,"Crumbie Paudin",mpaudinq@imdb.com,LATAM,EZE,GRU,"1 escala",basico+carry_on,Aleatorio,2022-12-08,592,paypal
Josiah,"Buckam Bedder",jbedderg@php.net,LATAM,EZE,VVI,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-08,543,"tarjeta debito"
